Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"S1",1," Botão"
"R2",1,"10 kΩ Resistor"
"D1",1,"Vermelho LED"
"R3, R4, R5",3,"1 kΩ Resistor"
"D2",1,"Amarelo LED"
"D3",1,"Verde LED"
